caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
793,south_5,South,E,WV,5,1,Male,Single,5:30 AM – 5:44 AM,Don't Know,6,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,7,Every night or almost every night, Never,Every night or almost every night, Never,Rarely,Rarely,A few nights a month, Never,A few nights a month,A few nights a week,Don't Know,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,Rarely,Rarely,Rarely,Rarely,A few nights a month,Every night or almost every night,Worse at night,Yes,Slightly louder than breathing,Never/Less often,Yes,Never, , , , , , , , , , , , , , ,A few nights a week,No,Someone else,Not very difficult,A few nights a week, Never,A few nights a week, Never, Never,1 to 2 nights a week,3 to 4 nights a week,Wake up on own,7,You were too sleepy when you woke up,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Don't Know,Mostly agree,Completely agree,Evening person,01,24,Don't Know,No, ,No, ,69,200,29.6156269691241,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,7,1,041,Rural
794,south_5,South,E,SC,5,1,Male,Married,Don’t know,Don't Know,8,Don’t know,11:30 PM – 11:44 PM,8,Never,Don't Know,Every night or almost every night,A few nights a week, Never, Never,A few nights a week,A few nights a month,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Don't Know,No,None, ,Rarely,Rarely,Rarely,Every night or almost every night,Rarely, Never,About the same,No, , , ,Never,No impact,No,Yes,No,No,No,No,Not sure,No,No,No,No,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,6,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Completely agree,Mostly agree,Don't Know,02,00,Never,No, ,No, ,71,142,19.8591549295775,Not at all,No,No,No,No,No,No,No,No,Working full-time,Rotating shifts,040,9,1,043,Rural
795,south_5,South,E,VA,5,1,Female,Divorced,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,7,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,7,A few nights a month, Never,Every night or almost every night,A few nights a week, Never,A few nights a week, Never, Never,A few nights a month, Never,Every night or almost every night,Yes,No,No,No,15 up to 30 minutes,Alone,Alone,Talk to your doctor,No,None, ,Rarely,A few nights a month,Rarely,Rarely,Rarely, Never,Better at night,Don't Know, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,5,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Mostly disagree,Completely agree,Morning person,00,00,Never,No, ,No, ,64,150,25.81787109375,Not at all,No,Yes,Yes,No,No,No,No,Yes,Retired, , , ,1,070,Rural
796,ne_6,Northeast,E,NY,2,1,Female,Married,8:30 AM – 8:44 AM,12:01 AM – 12:59 AM,8,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,8,A few nights a week, Never,Every night or almost every night, Never,Every night or almost every night,A few nights a month,Rarely,Rarely,A few nights a month, Never, Never,Yes,No,Yes,No,1 hour or more?,With your significant other,Alone,Assume it will go away in time,No,None, ,Rarely,Every night or almost every night,Rarely,Rarely,A few nights a week,Every night or almost every night,Worse at night,Yes,As loud as talking,1 to 2 nights a week,No,Never, ,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,None,No problems,Every night or almost every night,Yes,Noise,Very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,You went to bed too late,None,1 to 2 days,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Evening person,02,00,Never,No, ,No, ,63,220,39.0778533635676,Not at all,No,No,Yes,No,No,No,No,No,Retired, , , ,6,057,Suburban
797,south_5,South,E,SC,5,1,Female,Living with someone,5:30 AM – 5:44 AM,11:30 PM – 11:44 PM,6,8:30 AM – 8:44 AM,11:30 PM – 11:44 PM,8,A few nights a week,Rarely,Every night or almost every night,Rarely, Never,Rarely,Every night or almost every night,Rarely,Every night or almost every night,Rarely,Every night or almost every night,Yes,No,Yes,No,10 up to 15 minutes,With your significant other,With your significant other,Get recommendations from family/friends,No,None, ,Every night or almost every night,Rarely,Rarely,A few nights a month,Rarely,Every night or almost every night,Better at night,No, , , ,Never, ,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Alarm clock,6,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Completely agree,Completely disagree,Completely agree,Morning person,03,04,1 to 2 times a month,No, ,No, ,62,160,29.3444328824142,Every day,No,No,No,No,No,No,No,No,Working more than one job,Regular day shifts,040,6,1,021,Rural
798,south_5,South,E,NC,5,1,Female,Married,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,8,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,8,A few nights a month,A few nights a week,A few nights a month, Never, Never,A few nights a week,Refused, Never,Every night or almost every night, Never,Every night or almost every night,Yes,Yes,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, , Never,Rarely,Rarely,A few nights a month,A few nights a week,A few nights a week,About the same,Yes,Louder than talking,Don't Know,No,Never,No impact,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Not sure,None,No problems,Every night or almost every night,Yes,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,7,You are never late or tardy?,None,None,None,Refused,Do not watch TV/these programs before bed,Very concerned,Mostly agree,Mostly agree,Completely disagree,Completely agree,Morning person,03,01,Less than once a month,No, ,No, ,64,195,33.563232421875,Not at all,No,No,No,No,Yes,No,No,Yes,Working full-time,Regular day shifts,None,10,1,060,Rural
799,south_5,South,E,FL,5,1,Female,Married,7:30 AM – 7:44 AM,10:30 PM – 10:44 PM,7,7:30 AM – 7:44 AM,10:30 PM – 10:44 PM,7,Rarely, Never,Every night or almost every night,Every night or almost every night, Never,A few nights a week,Rarely,Rarely,A few nights a week, Never, Never,Yes,No,Yes,Yes,30 up to 45 minutes,Alone,Alone,Assume it will go away in time,No,2 or 3 times,45 minutes to less than 1 hour,A few nights a month,A few nights a week,A few nights a week,Rarely,Rarely,A few nights a month,Worse at night,No, , , ,1 to 2 nights a month?, ,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,None,No problems,Every night or almost every night,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,7,You needed to take care of others,None,None,None,No,Makes it difficult for you to fall asleep,Very concerned,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Evening person,01,00,1 to 2 times a month,No, ,No, ,63,195,34.6371882086168,Not at all,No,Yes,No,No,No,No,No,Yes,Volunteer, , , ,2,075,Suburban
800,ne_6,Northeast,E,CT,1,1,Male,Married,12:01 AM - 4:59 AM,9:00 AM – 11:59 AM,6,7:00 AM – 7:14 AM,10:00 PM – 10:14 PM,8,A few nights a month, Never,A few nights a week,A few nights a week, Never,Rarely,A few nights a month, Never,Every night or almost every night, Never, Never,No,Yes,Yes,Yes,Less than 5 minutes,Alone,Alone,Talk to your doctor,No,1 time, , Never, Never, Never, Never, Never,Don't Know, ,No, , , ,Never,No impact,Yes,No,No,No,No,No,No,No,No,No,Don't Know,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Mostly disagree,Mostly disagree,Morning person,01,00,Never,No, ,No, ,68,180,27.4437716262976,Not at all,No,No,No,Yes,No,No,No,No,Working more than one job,Regular day shifts,070,8,1,060,Suburban
801,ne_7,Northeast,E,PA,2,1,Female,Married,7:00 AM – 7:14 AM,9:00 PM – 9:14 PM,8,7:00 AM – 7:14 AM,10:00 PM – 10:14 PM,7,Never, Never,Rarely,Rarely,A few nights a week,A few nights a week, Never, Never,Every night or almost every night, Never,Rarely,No,No,No,No,5 up to 10 minutes,With your significant other,With your significant other,Self-treat it,No,None, , Never,Rarely, Never,A few nights a month,Rarely, Never,Worse at night,No, , , ,Never,No impact,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,None,No problems,Every night or almost every night,No,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,6,Do not work, , ,None,No,Do not watch TV/these programs before bed, Somewhat concerned,Completely agree,Mostly agree,Mostly agree,Completely agree,Morning person,00,00,Never,No, ,No, ,55,77,17.9454545454545,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,031,Suburban
802,south_5,South,E,GA,5,1,Male,Married,10:00 AM – 10:59 AM,11:30 PM – 11:44 PM,6,10:00 AM – 10:59 AM,1:00 AM – 1:59 AM,10,Every night or almost every night, Never,Every night or almost every night,A few nights a month,A few nights a week,A few nights a month,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,30 up to 45 minutes,With your significant other,With your significant other,Something else?,Yes,More than 5 times,45 minutes to less than 1 hour,Every night or almost every night,Every night or almost every night,Every night or almost every night,A few nights a week,Every night or almost every night,Every night or almost every night,About the same,No, , , ,Never, ,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,030,No problems, Never,Yes,Nightmares,Very difficult, Never,Every night or almost every night, Never,Every night or almost every night, Never,Every night or almost every night,1 to 2 nights a month?,Light,10,Do not work, , ,1 to 2 days,No,Causes you to have disturbed or restless sleep,Very concerned,Completely agree,Completely agree,Completely disagree,Completely agree,Evening person,02,00,Never,No, ,No, ,74,185,23.8175675675676,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,No,Disabled, , , ,1,045,Rural
803,ne_7,Northeast,E,NY,2,1,Female,Married,7:30 AM – 7:44 AM,12:00 AM (Midnight),7,10:00 AM – 10:59 AM,1:00 AM – 1:59 AM,6,A few nights a week, Never,Every night or almost every night,Rarely,Every night or almost every night,A few nights a week, Never,Rarely,A few nights a week,Every night or almost every night,Every night or almost every night,Yes,No,Yes,No,45 minutes up to 1 hour,With your significant other,With your significant other,Talk to your doctor,No,None, ,A few nights a week,A few nights a week,Rarely,A few nights a week,Don't Know,A few nights a month, ,Yes,As loud as talking,1 to 2 nights a month?,No,Never, ,No,No,No,No,No,No,No,Yes,Yes,No,No,060,Little problems,A few nights a week,Yes,The need to go to the bathroom,Not very difficult, Never,Don't Know, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Bed partner,6,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Mostly disagree,Mostly agree,Evening person,05,20,Never,No, ,No, ,67,153,24.0287369124527,Every day,No,Yes,No,No,Don't Know,Yes,No,Yes,Retired, , , ,1,059,Suburban
804,south_5,South,C,OK,7,1,Male,Widowed,7:00 AM – 7:14 AM,11:30 PM – 11:44 PM,6,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,6,Rarely, Never,Every night or almost every night, Never, Never,A few nights a week, Never, Never, Never, Never,Every night or almost every night,Yes,No,No,Yes,5 up to 10 minutes,Alone,Alone,Assume it will go away in time,No,More than 5 times,45 minutes to less than 1 hour,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Better at night,Don't Know, , , ,Don't Know,Severe impact, , , , , , , , , , , , , ,Every night or almost every night,No,Nothing awakens me at night,Not very difficult, Never, Never, Never, Never, Never,Never?,Every night or almost every night,Wake up on own,4,Do not work, , ,None,No intimate or sexual relationship,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Completely disagree,Completely agree,Morning person,00,00,3 or more times a week,No, ,No, ,69,190,28.1348456206679,Not at all,Yes,Yes,No,Yes,No,No,No,Yes,Retired, , , ,1,079,Rural
805,south_5,South,C,AL,6,1,Female,Married,5:00 AM – 5:14 AM,9:00 PM – 9:14 PM,Don't Know,5:00 AM – 5:14 AM,7:00 PM – 7:59 PM,6,Rarely,Rarely,Every night or almost every night,Rarely, Never,Rarely,Rarely,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Yes,No,No,No,1 hour or more?,With your significant other,With your significant other,Talk to your doctor,Yes,2 or 3 times,30 to less than 45 minutes,A few nights a week,Every night or almost every night,A few nights a week,A few nights a week,A few nights a week,Every night or almost every night,Better at night,Yes,Don't Know,Every night or almost every night,Yes,Never, ,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,120,No problems,A few nights a week,No,Noise,Somewhat difficult,A few nights a week,Rarely, Never, Never, Never,3 to 4 nights a week,1 to 2 nights a week,Wake up on own,8,You needed to take care of others,None,None,3 to 5 days,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Completely agree,Mostly agree,Morning person,00,00,1 to 2 times a month,No, ,No, ,64,135,23.236083984375,Every day,No,Yes,No,Yes,Yes,No,No,No,A homemaker, , , ,1,043,Rural
806,ne_6,Northeast,E,NJ,2,1,Female,Married,7:30 AM – 7:44 AM,12:00 AM (Midnight),7,9:00 AM – 9:14 AM,12:00 AM (Midnight),9,Rarely,Every night or almost every night,Rarely,Rarely,Rarely, Never,A few nights a month, Never,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Something else?,No,None, , Never,Every night or almost every night, Never,Rarely, Never,Every night or almost every night, ,No, , , ,Never,No impact,No,No,No,No,No,No,Yes,Yes,No,No,No,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,8,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Don't Know,Completely agree,Mostly agree,Completely agree,Evening person,02,00,Less than once a month,No, ,No, ,70,140,20.1428571428571,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,039,Rural
807,south_7,South,E,NC,5,1,Female,Married,6:30 AM – 6:44 AM,11:30 PM – 11:44 PM,4,6:30 AM – 6:44 AM,11:30 PM – 11:44 PM,4,Every night or almost every night, Never,Every night or almost every night, Never,Rarely, Never,Rarely, Never,Every night or almost every night,Rarely,A few nights a week,Yes,No,Yes,Yes,1 hour or more?,With your significant other,Refused,Assume it will go away in time,Yes,None, ,Every night or almost every night,Every night or almost every night,Every night or almost every night,A few nights a week,Every night or almost every night,Every night or almost every night,Worse at night,Yes,As loud as talking,1 to 2 nights a month?,No,Never, ,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,None,Little problems,Rarely,No,The need to go to the bathroom,Very difficult, Never, Never, Never, Never,Don't Know,3 to 4 nights a week,Every night or almost every night,Alarm clock,8,You were too sleepy when you woke up,None,None,1 to 2 days,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Completely agree,Mostly agree,Mostly agree,Evening person,04,04,3 or more times a week,No, ,No, ,60,190,37.2083333333333,Not at all,No,No,No,No,Yes,No,No,No,A homemaker, , , ,1,043,Rural
808,ne_6,Northeast,E,NJ,2,1,Female,Widowed,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,A few nights a month,Refused,Every night or almost every night,Rarely,Rarely, Never, Never, Never,Rarely, Never,Rarely,No,No,No,No,5 up to 10 minutes,Alone,Refused,Don't Know,No,None, , Never,Rarely,Rarely,Rarely, Never,Don't Know, ,No, , , ,Don't Know,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,8,Do not work, , ,None,Refused,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely disagree,Completely disagree,Completely disagree,Morning person,03,00,Never,No, ,No, ,62,135,24.7593652445369,Not at all,Yes,Yes,Yes,No,No,No,No,Yes,Retired, , , ,1,074,Don't Know
809,ne_7,Northeast,E,VT,1,1,Male,Married,5:30 AM – 5:44 AM,9:00 PM – 9:14 PM,8,8:00 AM – 8:14 AM,10:30 PM – 10:44 PM,9,A few nights a month, Never,A few nights a week,Every night or almost every night, Never,A few nights a week,A few nights a week,Rarely,Every night or almost every night,Rarely,A few nights a week,Yes,No,Yes,No,15 up to 30 minutes,With your significant other,With your significant other,Assume it will go away in time,No,1 time, ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Better at night,Yes,As loud as talking,3 to 4 nights a week,Yes,Don't Know,No impact,Yes,No,No,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,060,Little problems,Every night or almost every night,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,5,Traffic or transportation problems,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,03,06,Less than once a month,No, ,Yes,Less often or never?,71,185,25.8728426899425,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,045,6,1,052,Rural
810,ne_6,Northeast,E,ME,1,1,Female,Married,6:00 AM – 6:14 AM,9:00 PM – 9:14 PM,7.5,6:00 AM – 6:14 AM,9:00 PM – 9:14 PM,7.5,Never, Never,Every night or almost every night, Never, Never,Every night or almost every night,A few nights a month, Never, Never, Never,A few nights a month,No,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Self-treat it,No,None, ,A few nights a month,Rarely,Rarely,Rarely,A few nights a week,A few nights a week,Don't Know,Yes,Slightly louder than breathing,1 to 2 nights a month?,Yes,Never,No impact,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,030,Little problems,Every night or almost every night,No,Someone else,Not very difficult,A few nights a month, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,8,Do not work, , ,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Completely disagree,Don't Know,Mostly agree,Morning person,00,00,Never,No, ,No, ,64,150,25.81787109375,Not at all,Yes,No,No,Yes,No,Yes,No,Yes,A homemaker, , , ,1,067,Rural
811,ne_6,Northeast,E,PA,2,1,Male,Single,5:00 AM – 5:14 AM,10:30 PM – 10:44 PM,6,7:00 AM – 7:14 AM,12:00 AM (Midnight),6,Every night or almost every night,A few nights a month,Every night or almost every night,Rarely,A few nights a week,A few nights a month,Rarely,Rarely,Rarely,A few nights a week,Every night or almost every night,Yes,Yes,Yes,Yes,10 up to 15 minutes,Alone,Alone,Talk to your doctor,Yes,2 or 3 times,15 to less than 30 minutes,Rarely,Rarely,Rarely,A few nights a month, Never,A few nights a week, ,Yes,Louder than talking,3 to 4 nights a week,Yes,Don't Know, , , , , , , , , , , , , , ,A few nights a month,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,8,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Evening person,02,10,1 to 2 times a month,No, ,No, ,74,Refused,99,Not at all,No,No,No,No,No,No,No,Yes,Working full-time,Regular day shifts,040,7,1,047,Rural
812,ne_6,Northeast,E,CT,1,1,Male,Single,6:30 AM – 6:44 AM,10:30 PM – 10:44 PM,7,9:00 AM – 9:14 AM,11:30 PM – 11:44 PM,9,A few nights a month,A few nights a month,Every night or almost every night,Rarely,Rarely,A few nights a month,Rarely,Rarely,Rarely, Never,Rarely,Yes,Yes,Yes,Yes,10 up to 15 minutes,Alone,With your significant other,Self-treat it,No,None, ,Rarely,Rarely, Never,Rarely, Never,A few nights a month, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,Yes,Noise,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Wake up on own,7,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Completely agree,Evening person,00,00,Never,No, ,No, ,68,135,20.5828287197232,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,055,4,1,026,Rural
813,ne_6,Northeast,E,PA,2,1,Male,Single,5:45 AM – 5:59 AM,11:00 PM – 11:14 PM,6,8:00 AM – 8:14 AM,12:00 AM (Midnight),7.5,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night, Never, Never, Never, Never, Never,Yes,No,Yes,Yes,10 up to 15 minutes,Alone,Alone,Talk to your doctor,No,2 or 3 times,15 to less than 30 minutes,A few nights a month,Rarely,A few nights a month,A few nights a week, Never,A few nights a week, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never, , , , , , , , , , , , , , ,A few nights a week,Yes,The need to go to the bathroom,Not very difficult, Never,A few nights a week, Never,Rarely, Never,1 to 2 nights a week,Every night or almost every night,Alarm clock,7.5,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Mostly agree,Morning person,02,00,1 to 2 times a month,No, ,No, ,71,185,25.8728426899425,Not at all,No,Yes,No,Yes,No,Yes,No,No,Working full-time,Regular day shifts,040,3,1,051,Suburban
814,west_7,West,M,NM,8,1,Female,Married,6:00 AM – 6:14 AM,9:00 PM – 9:14 PM,8,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,8,Rarely, Never,A few nights a week,A few nights a week,A few nights a month,Every night or almost every night,Rarely, Never,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, , Never, Never, Never,Rarely, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,Yes,Yes,No,No,None,No problems,Rarely,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,8,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Completely agree,Mostly agree,Completely agree,Morning person,01,00,Never,No, ,No, ,64,110,18.93310546875,Not at all,No,No,No,No,No,No,No,No,A homemaker, , , ,1,057,Rural
815,ne_6,Northeast,E,NY,2,1,Female,Single,7:00 AM – 7:14 AM,10:00 PM – 10:14 PM,8.5,9:00 AM – 9:14 AM,10:30 PM – 10:44 PM,8.5,A few nights a month, Never,A few nights a week,A few nights a week, Never,Every night or almost every night, Never,Every night or almost every night, Never,Rarely,A few nights a month,Yes,No,No,Yes,10 up to 15 minutes,Alone,Alone,Assume it will go away in time,No,1 time, ,Rarely,A few nights a week, Never,A few nights a week,Rarely,A few nights a month,Better at night,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not very difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,8.5,Do not work, , ,None,No,Do not watch TV/these programs before bed,Very concerned,Completely agree,Mostly agree,Don't Know,Completely disagree,Don't Know,03,00,Never,No, ,No, ,67,162,25.4421920249499,Every day,No,Don't Know,No,No,No,No,No,No,Retired, , , ,Refused,062,Rural
816,west_6,West,M,UT,8,1,Female,Married,8:30 AM – 8:44 AM,12:00 AM (Midnight),8,8:30 AM – 8:44 AM,12:00 AM (Midnight),8,A few nights a week,Rarely,Every night or almost every night,Rarely, Never,A few nights a week,A few nights a week,A few nights a week,Every night or almost every night,A few nights a week,A few nights a week,Yes,No,No,Yes,30 up to 45 minutes,With your significant other,Alone,Self-treat it,No,1 time, , Never, Never, Never,A few nights a month, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,Yes,Yes,No,No,No,030,No problems,Every night or almost every night,No,Someone else,Not at all difficult, Never, Never,A few nights a week, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Wake up on own,5,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Mostly agree,Mostly disagree,Completely agree,Evening person,03,05,Less than once a month,No, ,Yes,Less often or never?,63,135,23.9795918367347,Some days,No,No,No,Yes,Yes,Yes,No,No,Working full-time,Rotating shifts,030,4,1,028,Rural
817,west_7,West,M,MT,8,1,Male,Widowed,5:30 AM – 5:44 AM,9:30 PM – 9:44 PM,6,5:30 AM – 5:44 AM,9:30 PM – 9:44 PM,6,Rarely, Never,Every night or almost every night,Rarely, Never,Every night or almost every night, Never,Rarely,Every night or almost every night, Never,Rarely,No,No,Yes,Yes,5 up to 10 minutes,Alone,Alone,Talk to your doctor,No,2 or 3 times,15 to less than 30 minutes,A few nights a month,Every night or almost every night,Rarely,Every night or almost every night,Every night or almost every night, Never,Don't Know,No, , , ,Don't Know, , , , , , , , , , , , , , ,A few nights a week,Yes,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Wake up on own,Don't Know,Do not work, , ,None,No intimate or sexual relationship,Or does it have no impact on your sleep?,Not really concerned,Mostly disagree,Mostly agree,Completely disagree,Mostly agree,Don't Know,00,00,Don't Know,No, ,Yes,Don't Know,68,155,23.6321366782007,Not at all,Yes,Yes,No,Yes,No,No,Yes,No,Retired, , , ,1,080,Rural
818,ne_6,Northeast,E,NY,2,1,Male,Married,7:15 AM – 7:29 AM,11:30 PM – 11:44 PM,6.5,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,9,Every night or almost every night, Never,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night,A few nights a week, Never,Every night or almost every night, Never,Every night or almost every night,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, ,A few nights a month,Rarely,A few nights a month,A few nights a week, Never,A few nights a month, ,Yes,Slightly louder than breathing,Every night or almost every night,Yes,Never,No impact,No,No,No,No,No,Yes,No,No,No,No,Yes,None,No problems,Rarely,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Alarm clock,6,You slept too late,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Mostly disagree,Mostly agree,Morning person,01,00,1 to 2 times a month,No, ,Yes,Less often or never?,69,200,29.6156269691241,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,042,3,3,022,Suburban
